Mod:Item:MetaData, Localized Name
thermaldynamics:cover:0, Крышка (Саженец Покрасневших Листьев)
thermaldynamics:cover:0, Крышка (Бамбуковый Саженец)
thermaldynamics:cover:0, Крышка (Магический Саженец)
thermaldynamics:cover:0, Крышка (Теневой Саженец)
thermaldynamics:cover:0, Крышка (Мёртвый Саженец)
thermaldynamics:cover:0, Крышка (Пихтовый Саженец)
thermaldynamics:cover:0, Крышка (Эфирный Саженец)
thermaldynamics:cover:0, Крышка (Изначальный Саженец)
thermaldynamics:cover:0, Крышка (Розовая Вишнёвый Саженец)
thermaldynamics:cover:0, Крышка (Белый Вишнёвый Саженец)
thermaldynamics:cover:0, Крышка (Кленовый Саженец)
thermaldynamics:cover:0, Крышка (Саженец из Адского Дерева)
thermaldynamics:cover:0, Крышка (Саженец Цветущегой Дуба)
thermaldynamics:cover:0, Крышка (Жакарандовый Саженец)
thermaldynamics:cover:0, Крышка (Саженец Священного Дуба)
thermaldynamics:cover:0, Крышка (Мангрововый Саженец)
thermaldynamics:cover:0, Крышка (Пальмовый Саженец)
thermaldynamics:cover:0, Крышка (Саженец Красного Дерева)
thermaldynamics:cover:0, Крышка (Ивовый Саженец)
thermaldynamics:cover:0, Крышка (Сосновый Саженец)
thermaldynamics:cover:0, Крышка (Махагоновый Саженец)
thermaldynamics:cover:0, Крышка (Эбеновый Саженец)
thermaldynamics:cover:0, Крышка (Эвкалиптовый Саженец)
thermaldynamics:cover:0, Крышка (Короткая трава)
thermaldynamics:cover:0, Крышка (Средняя трава)
thermaldynamics:cover:0, Крышка (Кустарник)
thermaldynamics:cover:0, Крышка (Росток)
thermaldynamics:cover:0, Крышка (Ядовитый Плющ)
thermaldynamics:cover:0, Крышка (Ягодный Куст)
thermaldynamics:cover:0, Крышка (Куст)
thermaldynamics:cover:0, Крышка (Пшеничная Трава)
thermaldynamics:cover:0, Крышка (Сырая Трава)
thermaldynamics:cover:0, Крышка (Кору)
thermaldynamics:cover:0, Крышка (Клеверная Повязка)
thermaldynamics:cover:0, Крышка (Куча Листьев)
thermaldynamics:cover:0, Крышка (Куча Мёртвых Листьев)
thermaldynamics:cover:0, Крышка (Мёртвая Трава)
thermaldynamics:cover:0, Крышка (Пустынная Трава)
thermaldynamics:cover:0, Крышка (Пустынные Ростки)
thermaldynamics:cover:0, Крышка (Дюнная Трава)
thermaldynamics:cover:0, Крышка (Спектральный Папоротник)
thermaldynamics:cover:0, Крышка (Колючий Кустарник)
thermaldynamics:cover:0, Крышка (Дикий Рис)
thermaldynamics:cover:0, Крышка (Рогоз)
thermaldynamics:cover:0, Крышка (Речной Тростник)
thermaldynamics:cover:0, Крышка (Крошечный Кактус)
thermaldynamics:cover:0, Крышка (Дьявольская Трава)
thermaldynamics:cover:0, Крышка (Камыш)
thermaldynamics:cover:0, Крышка (Корень)
thermaldynamics:cover:0, Крышка (Раффлезия)
thermaldynamics:cover:0, Крышка (Ячмень)
thermaldynamics:cover:0, Крышка (Лён)
thermaldynamics:cover:0, Крышка (Высокий Рогоз)
thermaldynamics:cover:0, Крышка (Глазное Яблоко)
thermaldynamics:cover:0, Крышка (Морской Овёс)
thermaldynamics:cover:0, Крышка (Поганка)
thermaldynamics:cover:0, Крышка (Портобелло)
thermaldynamics:cover:0, Крышка (Млечник Голубой)
thermaldynamics:cover:0, Крышка (Светящиеся Гриб)
thermaldynamics:cover:0, Крышка (Плоский Гриб)
thermaldynamics:cover:0, Крышка (Тёмный Гриб)
thermaldynamics:cover:0, Крышка (Ежевика)
thermaldynamics:cover:0, Крышка (Клевер)
thermaldynamics:cover:0, Крышка (Болотный Цветок)
thermaldynamics:cover:0, Крышка (Смертельный Цветок)
thermaldynamics:cover:0, Крышка (Светящиеся Цветок)
thermaldynamics:cover:0, Крышка (Синяя Гортензия)
thermaldynamics:cover:0, Крышка (Оранжевая Космея)
thermaldynamics:cover:0, Крышка (Розовый Нарцисс)
thermaldynamics:cover:0, Крышка (Дикий Цветок)
thermaldynamics:cover:0, Крышка (Фиалка)
thermaldynamics:cover:0, Крышка (Белый Анемон)
thermaldynamics:cover:0, Крышка (Лотос Края)
thermaldynamics:cover:0, Крышка (Бромелия)
thermaldynamics:cover:0, Крышка (Увядшая Лилия)
thermaldynamics:cover:0, Крышка (Розовый Гибискус)
thermaldynamics:cover:0, Крышка (Ландыш)
thermaldynamics:cover:0, Крышка (Горицвет)
thermaldynamics:cover:0, Крышка (Лаванда)
thermaldynamics:cover:0, Крышка (Золотарник)
thermaldynamics:cover:0, Крышка (Колокольчики)
thermaldynamics:cover:0, Крышка (Радость Шахтёра)
thermaldynamics:cover:0, Крышка (Ледяной Ирис)
thermaldynamics:cover:0, Крышка (Роза)
thermaldynamics:cover:0, Крышка (Плющ)
thermaldynamics:cover:0, Крышка (Ивовая Лоза)
thermaldynamics:cover:0, Крышка (Террариум Папоротника)
thermaldynamics:cover:0, Крышка (Террариум Грибов)
thermaldynamics:cover:0, Крышка (Террариум Кактуса)
thermaldynamics:cover:0, Крышка (Террариум Льна)
thermaldynamics:cover:0, Крышка (Террариум Цветка)
thermaldynamics:cover:0, Крышка (Террариум Кору)
thermaldynamics:cover:0, Крышка (Террариум Бамбука)
thermaldynamics:cover:0, Крышка (Beach Terrarium)
thermaldynamics:cover:0, Крышка (Террариум Светящегося Гриба)
thermaldynamics:cover:0, Крышка (Террариум Засухи)
thermaldynamics:cover:0, Крышка (Мистический Террариум)
thermaldynamics:cover:0, Крышка (Зловещий Террариум)
thermaldynamics:cover:0, Крышка (Террариум Пустоши)
thermaldynamics:cover:0, Крышка (Изначальный Террариум)
thermaldynamics:cover:0, Крышка (Адский Террариум)
thermaldynamics:cover:0, Крышка (Террариум Края)
thermaldynamics:cover:0, Крышка (Ледяной дракон Egg)
thermaldynamics:cover:0, Крышка (Призрачный дракон Egg)
thermaldynamics:cover:0, Крышка (Огненный дракон Egg)
thermaldynamics:cover:0, Крышка (Водный дракон Egg)
thermaldynamics:cover:0, Крышка (Дракон Эфира Egg)
thermaldynamics:cover:0, Крышка (Дракон Нижнего мира Egg)
thermaldynamics:cover:0, Крышка (Лесной дракон Egg)
thermaldynamics:cover:0, Крышка (Дракон Края Egg)
thermaldynamics:cover:0, Крышка (Булыжник с железной каймой)
thermaldynamics:cover:0, Крышка (Булыжник с золотой каймой)
thermaldynamics:cover:0, Крышка (Булыжник с алмазной каймой)
thermaldynamics:cover:0, Крышка (Булыжник с изумрудной каймой)
thermaldynamics:cover:0, Крышка (Булыжник с кварцевой каймой)
thermaldynamics:cover:0, Крышка (Чистоцвет)
thermaldynamics:cover:0, Крышка (Тотем рассвета)
thermaldynamics:cover:0, Крышка (Тотем сумерок)
thermaldynamics:cover:0, Крышка (Кафедра с таумономиконом)
thermaldynamics:cover:0, Крышка (Пустотная наковальня)
thermaldynamics:cover:0, Крышка (Порче-тыква)
thermaldynamics:cover:0, Крышка (Taint o' Lantern)
thermaldynamics:cover:0, Крышка (Блок мифриллиума)
thermaldynamics:cover:0, Крышка (Блок адаминита)
thermaldynamics:cover:0, Крышка (Блок мифминита)
thermaldynamics:cover:0, Крышка (Доски из заражённой древесины)
thermaldynamics:cover:0, Крышка (Резной янтарный блок)
thermaldynamics:cover:0, Крышка (Обрамленное железом великое дерево)
thermaldynamics:cover:0, Крышка (Обитое латунью серебрянное дерево)
thermaldynamics:cover:0, Крышка (Выточенное великое дерево)
thermaldynamics:cover:0, Крышка (Янтарный фонарь)
thermaldynamics:cover:0, Крышка (Древний булыжник)
thermaldynamics:cover:0, Крышка (Древний замшелый булыжник)
thermaldynamics:cover:0, Крышка (Древний гравий)
thermaldynamics:cover:0, Крышка (Древний кирпич)
thermaldynamics:cover:0, Крышка (Древний лазуритовый блок)
thermaldynamics:cover:0, Крышка (Древний железный блок)
thermaldynamics:cover:0, Крышка (Древний золотой блок)
thermaldynamics:cover:0, Крышка (Древний алмазный блок)
thermaldynamics:cover:0, Крышка (Ртутный блок)
thermaldynamics:cover:0, Крышка (Ртутный кирпич)
thermaldynamics:cover:0, Крышка (Блок Salis Mundus)
thermaldynamics:cover:0, Крышка (Блок тауминита)
thermaldynamics:cover:0, Крышка (Обрамлённый железом бревно великого дерева)
thermaldynamics:cover:0, Крышка (Обрамлённый золотом обсидиан)
thermaldynamics:cover:0, Крышка (Блок кристаллов воздуха)
thermaldynamics:cover:0, Крышка (Блок кристаллов огня)
thermaldynamics:cover:0, Крышка (Блок кристаллов воды)
thermaldynamics:cover:0, Крышка (Блок кристаллов земли)
thermaldynamics:cover:0, Крышка (Блок кристаллов порядка)
thermaldynamics:cover:0, Крышка (Блок кристаллов энтропии)
thermaldynamics:cover:0, Крышка (Блок смешанных кристаллов)
thermaldynamics:cover:0, Крышка (Блок заражённых кристаллов)
thermaldynamics:cover:0, Крышка (Thaumium Anvil)
thermaldynamics:cover:0, Крышка (Thaumium Anvil)
thermaldynamics:cover:0, Крышка (Thaumium Anvil)
thermaldynamics:cover:0, Крышка (Void metal Anvil)
thermaldynamics:cover:0, Крышка (Void metal Anvil)
thermaldynamics:cover:0, Крышка (Void metal Anvil)
thermaldynamics:cover:0, Крышка (Радужный кактус)
thermaldynamics:cover:0, Крышка (Аурелия)
thermaldynamics:cover:0, Крышка (Шиповник)
thermaldynamics:cover:0, Крышка (Железные шипы)
thermaldynamics:cover:0, Крышка (Шипы из таумиума)
thermaldynamics:cover:0, Крышка (Пустотные шипы)
thermaldynamics:cover:0, Крышка (Золотые дубовые бревна)
thermaldynamics:cover:0, Крышка (Золотые дубовые листья)
thermaldynamics:cover:0, Крышка (Золотые дубовые саженцы)
thermaldynamics:cover:0, Крышка (Золотые дубовые доски)
thermaldynamics:cover:0, Крышка (Саженец Энда)
thermaldynamics:cover:0, Крышка (Бревно дерева Энда)
thermaldynamics:cover:0, Крышка (Листья дерева Энда)
thermaldynamics:cover:0, Крышка (Доски дерева Энда)
thermaldynamics:cover:0, Крышка (Саженец Незера)
thermaldynamics:cover:0, Крышка (Бревно дерева Незера)
thermaldynamics:cover:0, Крышка (Листья дерева Незера)
thermaldynamics:cover:0, Крышка (Доски дерева Незера)
thermaldynamics:cover:0, Крышка (Peaceful Sapling)
thermaldynamics:cover:0, Крышка (Peaceful Wood)
thermaldynamics:cover:0, Крышка (Peaceful Leaves)
thermaldynamics:cover:0, Крышка (Peaceful Planks)
thermalinnovation:drill:0, Флаксобур (основной)
thermalinnovation:drill:1, Флаксобур (усиленный)
thermalinnovation:drill:2, Флаксобур (укрепленный)
thermalinnovation:drill:3, Флаксобур (синаловый)
thermalinnovation:drill:4, Флаксобур (резонирующий)
thermalinnovation:drill:32000, Флаксобур (творческий)
thermalinnovation:saw:0, Флаксопила (основной)
thermalinnovation:saw:1, Флаксопила (усиленный)
thermalinnovation:saw:2, Флаксопила (укрепленный)
thermalinnovation:saw:3, Флаксопила (синаловый)
thermalinnovation:saw:4, Флаксопила (резонирующий)
thermalinnovation:saw:32000, Флаксопила (творческий)
thermalinnovation:magnet:0, Флаксомагнит (основной)
thermalinnovation:magnet:1, Флаксомагнит (усиленный)
thermalinnovation:magnet:2, Флаксомагнит (укрепленный)
thermalinnovation:magnet:3, Флаксомагнит (синаловый)
thermalinnovation:magnet:4, Флаксомагнит (резонирующий)
thermalinnovation:magnet:32000, Флаксомагнит (творческий)
thermalinnovation:injector:0, Шприц (основной)
thermalinnovation:injector:1, Шприц (усиленный)
thermalinnovation:injector:2, Шприц (укрепленный)
thermalinnovation:injector:3, Шприц (синаловый)
thermalinnovation:injector:4, Шприц (резонирующий)
thermalinnovation:injector:32000, Шприц (творческий)
thermalinnovation:quiver:0, Алхимический колчан (основной)
thermalinnovation:quiver:1, Алхимический колчан (усиленный)
thermalinnovation:quiver:2, Алхимический колчан (укрепленный)
thermalinnovation:quiver:3, Алхимический колчан (синаловый)
thermalinnovation:quiver:4, Алхимический колчан (резонирующий)
thermalinnovation:quiver:32000, Алхимический колчан (творческий)
thaumcraft:ore_amber, Янтароносный камень
thaumcraft:ore_cinnabar, Киноварь
thaumcraft:ore_quartz, Кварцевая руда
thaumcraft:crystal_aer, Кристалл воздуха
thaumcraft:crystal_ignis, Кристалл огня
thaumcraft:crystal_aqua, Кристалл воды
thaumcraft:crystal_terra, Кристалл земли
thaumcraft:crystal_ordo, Кристалл порядка
thaumcraft:crystal_perditio, Кристалл энтропии
thaumcraft:crystal_vitium, Кристалл Выбросов
thaumcraft:stone_arcane, Мистический камень
thaumcraft:stone_arcane_brick, Кирпичи из мистического камня
thaumcraft:stone_ancient, Древний камень
thaumcraft:stone_ancient_tile, Плита из древнего камня
thaumcraft:stone_ancient_rock, Древний булыжник
thaumcraft:stone_ancient_glyphed, Расписанный камень
thaumcraft:stone_ancient_doorway, Древний Барьер
thaumcraft:stone_eldritch_tile, Потусторонний камень
thaumcraft:stone_porous, Пористый камень
thaumcraft:stairs_arcane, Ступеньки из мистического камня
thaumcraft:stairs_arcane_brick, Ступеньки из кирпичей мистического камня
thaumcraft:stairs_ancient, Ступеньки из древнего камня
thaumcraft:slab_arcane_stone:0, Плита из мистического камня
thaumcraft:slab_arcane_brick:0, Плита из кирпичей мистического камня
thaumcraft:slab_ancient:0, Плита из древнего камня
thaumcraft:slab_eldritch:0, Плита из потустороннего камня
thaumcraft:sapling_greatwood, Саженец великого дерева
thaumcraft:sapling_silverwood, Саженец серебряного дерева
thaumcraft:log_greatwood, Бревно великого дерева
thaumcraft:log_silverwood, Бревно серебряного дерева
thaumcraft:leaves_greatwood, Листья великого дерева
thaumcraft:leaves_silverwood, Листья серебряного дерева
thaumcraft:shimmerleaf, Мерцающий лист
thaumcraft:cinderpearl, Тлеющая жемчужина
thaumcraft:vishroom, Висомор
thaumcraft:plank_greatwood, Доски из великого дерева
thaumcraft:plank_silverwood, Доски из серебряного дерева
thaumcraft:stairs_greatwood, Ступеньки из великого дерева
thaumcraft:stairs_silverwood, Ступеньки из серебряного дерева
thaumcraft:slab_greatwood:0, Плита из великого дерева
thaumcraft:slab_silverwood:0, Плита из серебряного дерева
thaumcraft:amber_block, Янтарный блок
thaumcraft:amber_brick, Янтарные кирпичи
thaumcraft:flesh_block, Блок плоти
thaumcraft:loot_crate_common, Обычный ящик
thaumcraft:loot_crate_uncommon, Необычный ящик
thaumcraft:loot_crate_rare, Редкий ящик
thaumcraft:loot_urn_common, Обычная урна
thaumcraft:loot_urn_uncommon, Необычная урна
thaumcraft:loot_urn_rare, Редкая урна
thaumcraft:taint_fibre, Волокнистое заражение
thaumcraft:taint_crust, Поверхностное заражение
thaumcraft:taint_soil, Заражённая почва
thaumcraft:taint_rock, Заражённый камень
thaumcraft:taint_geyser, Заражённый гейзер
thaumcraft:taint_feature, Разбухшее заражение
thaumcraft:taint_log, Бревно Зараженного дерева
thaumcraft:grass_ambient, Дёрн окружения
thaumcraft:table_wood, Деревянный стол
thaumcraft:table_stone, Каменный стол
thaumcraft:pedestal_arcane, Мистический пьедестал
thaumcraft:pedestal_ancient, Древний пьедестал
thaumcraft:pedestal_eldritch, Потусторонний пьедестал
thaumcraft:metal_brass, Латунный блок
thaumcraft:metal_thaumium, Блок таумиума
thaumcraft:metal_void, Блок пустотного металла
thaumcraft:metal_alchemical, Алхимическая конструкция
thaumcraft:metal_alchemical_advanced, Продвинутая алхимическая конструкция
thaumcraft:paving_stone_travel, Брусчатка путешественника
thaumcraft:paving_stone_barrier, Камень-барьер
thaumcraft:pillar_arcane, Наполняющая колонна
thaumcraft:pillar_ancient, Древняя наполняющая колонна
thaumcraft:pillar_eldritch, Потусторонняя наполняющая колонна
thaumcraft:matrix_speed, Наполняющий камень скорости
thaumcraft:matrix_cost, Наполняющий камень затрат
thaumcraft:candle_white, Белая сальная свеча
thaumcraft:candle_orange, Оранжевая сальная свеча
thaumcraft:candle_magenta, Пурпурная сальная свеча
thaumcraft:candle_lightblue, Голубая сальная свеча
thaumcraft:candle_yellow, Жёлтая сальная свеча
thaumcraft:candle_lime, Лаймовая сальная свеча
thaumcraft:candle_pink, Розовая сальная свеча
thaumcraft:candle_gray, Серая сальная свеча
thaumcraft:candle_silver, Светло-серая сальная свеча
thaumcraft:candle_cyan, Бирюзовая сальная свеча
thaumcraft:candle_purple, Фиолетовая сальная свеча
thaumcraft:candle_blue, Синяя сальная свеча
thaumcraft:candle_brown, Коричневая сальная свеча
thaumcraft:candle_green, Зелёная сальная свеча
thaumcraft:candle_red, Красная сальная свеча
thaumcraft:candle_black, Чёрная сальная свеча
thaumcraft:banner_white, Белое знамя
thaumcraft:banner_orange, Оранжевое знамя
thaumcraft:banner_magenta, Пурпурное знамя
thaumcraft:banner_lightblue, Голубое знамя
thaumcraft:banner_yellow, Жёлтое знамя
thaumcraft:banner_lime, Лаймовое знамя
thaumcraft:banner_pink, Розовое знамя
thaumcraft:banner_gray, Серое знамя
thaumcraft:banner_silver, Светло-серое знамя
thaumcraft:banner_cyan, Бирюзовое знамя
thaumcraft:banner_purple, Фиолетовое знамя
thaumcraft:banner_blue, Синее знамя
thaumcraft:banner_brown, Коричневое знамя
thaumcraft:banner_green, Зелёное знамя
thaumcraft:banner_red, Красное знамя
thaumcraft:banner_black, Чёрное знамя
thaumcraft:banner_crimson_cult, Знамя багрового культа
thaumcraft:nitor_white, Белый нитор
thaumcraft:nitor_orange, Оранжевый нитор
thaumcraft:nitor_magenta, Пурпурный нитор
thaumcraft:nitor_lightblue, Голубой нитор
thaumcraft:nitor_yellow, Жёлтый нитор
thaumcraft:nitor_lime, Лаймовый нитор
thaumcraft:nitor_pink, Розовый нитор
thaumcraft:nitor_gray, Серый нитор
thaumcraft:nitor_silver, Светло-серый нитор
thaumcraft:nitor_cyan, Бирюзовый нитор
thaumcraft:nitor_purple, Фиолетовый нитор
thaumcraft:nitor_blue, Синий нитор
thaumcraft:nitor_brown, Коричневый нитор
thaumcraft:nitor_green, Зелёный нитор
thaumcraft:nitor_red, Красный нитор
thaumcraft:nitor_black, Чёрный нитор
thaumcraft:vis_battery, Вис-батарея
thaumcraft:inlay, Redstone Inlay
thaumcraft:arcane_workbench, Мистический верстак
thaumcraft:arcane_workbench_charger, Заряжатель мистического верстака
thaumcraft:dioptra, Таумическая диоптрия
thaumcraft:research_table, Стол исследований
thaumcraft:crucible, Тигель
thaumcraft:arcane_ear, Мистическое ухо
thaumcraft:arcane_ear_toggle, Мистическое ухо (Переключённое)
thaumcraft:lamp_arcane, Мистический светильник
thaumcraft:lamp_fertility, Светильник скрещивания
thaumcraft:lamp_growth, Светильник роста
thaumcraft:levitator, Мистический подъёмник
thaumcraft:centrifuge, Центрифуга эссенции
thaumcraft:bellows, Мистические меха
thaumcraft:smelter_basic, Плавильня эссенции
thaumcraft:smelter_thaumium, Плавильня эссенции из таумиума
thaumcraft:smelter_void, Плавильня эссенции из пустотного металла
thaumcraft:smelter_aux, Вспомогательный жидкостный насос
thaumcraft:smelter_vent, Вспомогательный вентиляционный порт
thaumcraft:alembic, Перегонный куб
thaumcraft:recharge_pedestal, Пьедестал подзарядки
thaumcraft:wand_workbench, Конфигуратор линз
thaumcraft:hungry_chest, Голодный сундук
thaumcraft:tube, Труба для эссенции
thaumcraft:tube_valve, Клапан трубы для эссенции
thaumcraft:tube_restrict, Ограничивающая труба для эссенции
thaumcraft:tube_oneway, Направляющая труба для эссенции
thaumcraft:tube_filter, Фильтрующая труба для эссенции
thaumcraft:tube_buffer, Буфер для эссенции
thaumcraft:jar_normal, Банка
thaumcraft:jar_void, Пустотная банка
thaumcraft:jar_brain, Мозг в банке
thaumcraft:infusion_matrix, Руническая матрица
thaumcraft:infernal_furnace, Адская печь
thaumcraft:everfull_urn, Неиссякающая урна
thaumcraft:thaumatorium, Тауматорий
thaumcraft:thaumatorium_top, Тауматорий
thaumcraft:brain_box, Мнемоническая матрица
thaumcraft:spa, Мистическая ванна
thaumcraft:golem_builder, Пресс големов
thaumcraft:mirror, Магическое зеркало
thaumcraft:mirror_essentia, Зеркало эссенции
thaumcraft:essentia_input, Наполняющий передатчик эссенции
thaumcraft:essentia_output, Опустошающий передатчик эссенции
thaumcraft:redstone_relay, Редстоуновое реле
thaumcraft:pattern_crafter, Мистический шаблонный сборщик
thaumcraft:potion_sprayer, Разбрызгиватель зелий
thaumcraft:activator_rail, Мистические активирующие рельсы
thaumcraft:stabilizer, Стабилизатор
thaumcraft:vis_generator, Генератор Вис
thaumcraft:condenser, Конденсатор Выбросов
thaumcraft:condenser_lattice, Решётка конденсатора Выбросов
thaumcraft:condenser_lattice_dirty, Засоренная решётка конденсатора Выбросов
thaumcraft:void_siphon, Пустотный сифон
thaumcraft:hole, Пространственный разлом
thaumcraft:effect_shock, Статическое поле
thaumcraft:effect_sap, Истощающее поле
thaumcraft:effect_glimmer, Мерцание
thaumcraft:placeholder_brick, Адская печь
thaumcraft:placeholder_obsidian, Адская печь
thaumcraft:placeholder_bars, Пресс големов
thaumcraft:placeholder_anvil, Пресс големов
thaumcraft:placeholder_cauldron, Пресс големов
thaumcraft:placeholder_table, Пресс големов
thaumcraft:empty, Пустое пространство
thaumcraft:barrier, Охраняющая аура
divinerpg:teleportation_crystal, Кристалл телепортации
divinerpg:teleportation_star, Звезда телепортации
divinerpg:corrupted_shards, Повреждённые осколки
divinerpg:divine_shards, Божественные осколки
divinerpg:ender_shards, Осколки Края
divinerpg:ice_shards, Ледяные осколки
divinerpg:jungle_shards, Осколки джунглей
divinerpg:molten_shards, Расплавленные осколки
divinerpg:terran_shards, Земляные осколки
divinerpg:corrupted_stone, Повреждённый камень
divinerpg:divine_stone, Божественный камень
divinerpg:ender_stone, Камень Края
divinerpg:ice_stone, Ледяной камень
divinerpg:jungle_stone, Камень джунглей
divinerpg:molten_stone, Расплавленный камень
divinerpg:shadow_stone, Теневой камень
divinerpg:terran_stone, Земляной камень
divinerpg:arlemite_ingot, Арлемитовый слиток
divinerpg:hellstone_ingot, Адский слиток
divinerpg:netherite_ingot, Незеритовый слиток
divinerpg:realmite_ingot, Реалмитовый слиток
divinerpg:rupee_ingot, Рупиевый слиток
divinerpg:shadow_bar, Слиток тени
divinerpg:arlemite_nugget, Арлемитовый самородок
divinerpg:realmite_nugget, Реалмитовый самородок
divinerpg:rupee_nugget, Рупиевый самородок
divinerpg:netherite_nugget, Незеритовый самородок
divinerpg:call_of_the_watcher, Призыв Смотрителя
divinerpg:horde_horn, Рог Орды
divinerpg:infernal_flame, Адский огонь
divinerpg:mysterious_clock, Мистические часы
divinerpg:watching_eye, Смотрящее Око
divinerpg:blue_diamond_chunk, Синий алмазный кусок
divinerpg:gray_diamond_chunk, Серый алмазный кусок
divinerpg:red_diamond_chunk, Красный алмазный кусок
divinerpg:yellow_diamond_chunk, Жёлтый алмазный кусок
divinerpg:green_diamond_chunk, Зелёный алмазный кусок
divinerpg:brown_grizzle_egg, Яйцо призыва Бурого гризли
divinerpg:ehu_egg, Яйцо призыва Еху
divinerpg:husk_egg, Яйцо призыва Хаска
divinerpg:smelter_egg, Яйцо призыва Смелтера
divinerpg:snapper_egg, Яйцо призыва Снаппера
divinerpg:stone_golem_egg, Яйцо призыва Каменного голема
divinerpg:white_grizzle_egg, Яйцо призыва Белого гризли
divinerpg:aqua_ball, Водяной шар
divinerpg:aquatic_blaze_rod, Водяной стержень
divinerpg:aquatic_ingot, Водяной слиток
divinerpg:aquatic_pellets, Водяные гранулы
divinerpg:bedrock_chunk, Кусок бедрока
divinerpg:bloodgem, Камень крови
divinerpg:bluefire_stone, Камень синего огня
divinerpg:corrupted_bullet, Повреждённая пуля
divinerpg:crab_claw, Клешня краба
divinerpg:cyclops_eye, Глаз циклопа
divinerpg:cyclops_eye_shards, Осколки глаза циклопа
divinerpg:fury_fire, Дикий огонь
divinerpg:healing_stone, Камень здоровья
divinerpg:kraken_scale, Чешуйка Кракена
divinerpg:kraken_skin, Чешуя Кракена
divinerpg:legendary_ender_eye, Легендарное око Края
divinerpg:liopleurodon_skull, Череп лиоплевродона
divinerpg:liopleurodon_teeth, Зуб лиоплевродона
divinerpg:netherite_chunk, Незеритовый кусок
divinerpg:pure_aquatic_pellets, Очищенные водяные гранулы
divinerpg:purple_blaze, Фиолетовое пламя
divinerpg:shadow_coins, Теневая монета
divinerpg:shark_fin, Плавник акулы
divinerpg:whale_fin, Плавник кита
divinerpg:snowflake, Снежинка
divinerpg:snow_globe, Снежный шар
divinerpg:advanced_mushroom_stew, Продвинутые тушёные грибы
divinerpg:bacon, Бекон
divinerpg:boiled_egg, Варёное яйцо
divinerpg:cheese, Сыр
divinerpg:chicken_dinner, Куриный обед
divinerpg:chocolate_log, Шоколадный батончик
divinerpg:donut, Пончик
divinerpg:egg_nog, Эгг-ног
divinerpg:raw_empowered_meat, Сырое усиленное мясо
divinerpg:empowered_meat, Усиленное мясо
divinerpg:enriched_magic_meat, Обогащённое магическое мясо
divinerpg:forbidden_fruit, Запретный фрукт
divinerpg:fruit_cake, Фруктовый пирог
divinerpg:hot_pumpkin_pie, Горячий тыквенный пирог
divinerpg:magic_meat, Магическое мясо
divinerpg:moonbulb, Лунная луковица
divinerpg:peppermints, Перечная мята
divinerpg:pink_glowbone, Розовая светокость
divinerpg:purple_glowbone, Фиолетовая светокость
divinerpg:sky_flower, Небесный цветок
divinerpg:snow_cones, Снежная шишка
divinerpg:tomato, Томат
divinerpg:white_mushroom, Белый гриб
divinerpg:winterberry, Зимняя ягода
divinerpg:eden_soul, Душа Эдема
divinerpg:wildwood_soul, Душа Дикого леса
divinerpg:apalachia_soul, Душа Апалачии
divinerpg:skythern_soul, Душа Небесного тёрна
divinerpg:mortum_soul, Душа Мортума
divinerpg:eden_heart, Сердце Солнечного шторма
divinerpg:wildwood_heart, Сердце Термасекта
divinerpg:apalachia_heart, Сердце Апалачии
divinerpg:skythern_heart, Сердце Небесного тёрна
divinerpg:mortum_heart, Сердце Мортума
divinerpg:eden_fragments, Фрагменты Эдема
divinerpg:wildwood_fragments, Фрагменты Дикого леса
divinerpg:apalachia_fragments, Фрагменты Апалачии
divinerpg:skythern_fragments, Фрагменты Небесного тёрна
divinerpg:mortum_fragments, Фрагменты Мортума
divinerpg:eden_gem, Самоцвет Эдема
divinerpg:wildwood_gem, Самоцвет Дикого леса
divinerpg:apalachia_gem, Самоцвет Апалачии
divinerpg:skythern_gem, Самоцвет Небесного тёрна
divinerpg:mortum_gem, Самоцвет Мортума
divinerpg:eden_chunk, Кусок Эдема
divinerpg:wildwood_chunk, Кусок Дикого леса
divinerpg:apalachia_chunk, Кусок Апалачии
divinerpg:skythern_chunk, Кусок Небесного тёрна
divinerpg:mortum_chunk, Кусок Мортума
divinerpg:eden_dust, Пыль Эдема
divinerpg:wildwood_dust, Пыль Дикого леса
divinerpg:apalachia_dust, Пыль Апалачии
divinerpg:skythern_dust, Пыль Небесного тёрна
divinerpg:mortum_dust, Пыль Мортума
divinerpg:karot_crystal, Кристалл Карота
divinerpg:reyvor_crystal, Кристалл Рейвора
divinerpg:densos_crystal, Кристалл Денсоса
divinerpg:soul_fiend_crystal, Кристалл Демона душ
divinerpg:twilight_demon_crystal, Кристалл Сумеречного демона
divinerpg:vamacheron_crystal, Кристалл Вамашерона
divinerpg:twilight_clock, Сумеречные часы
divinerpg:eden_arrow, Стрела Эдема
divinerpg:fury_arrow, Яростная стрела
divinerpg:wildwood_arrow, Стрела Дикого леса
divinerpg:base_spawn_crystal, Кристалл основания спаунера
divinerpg:eden_sparkles, Блёстки Эдема
divinerpg:arcanium_attractor, Аттрактор Арканы
divinerpg:arcanium_reflector, Отражатель Арканы
divinerpg:divine_accumulator, Божественная накопитель
divinerpg:ghostbane, Проклятый призрак
divinerpg:orb_of_light, Сфера света
divinerpg:staff_of_enrichment, Посох обогащения
divinerpg:frozen_charge, Замороженный заряд
